First Name,Middle Name,Last Name,Employee Salary,Days Worked,Years Worked,Days Lived,Year Lived,Years Lived,Termination
Fname 8159,S,Lname 8159,92164.8,3648,10,16625,-73,46,0
Fname 4466,E,Lname 4466,92123.2,3879,11,21974,-58,60,0
Fname 1554,A,Lname 1554,91998.4,7288,20,22055,-58,60,0
Fname 6390,F,Lname 6390,91998.4,316,1,18303,-68,50,0
Fname 10842,,Lname 10842,91956.8,3424,9,17198,-71,47,0
Fname 7083,GAYLE,Lname 7083,91588.64,3879,11,11940,-85,33,0
Fname 6104,C,Lname 6104,91457.6,4103,11,19038,-66,52,0
Fname 8451,T,Lname 8451,91353.6,3704,10,17365,-71,48,0
Fname 4488,L,Lname 4488,91249.6,1583,4,16453,-73,45,0
Fname 1866,,Lname 1866,91228.8,4852,13,17431,-70,48,0
Fname 5293,,Lname 5293,91166.4,1779,5,17668,-70,48,0
Fname 9140,M,Lname 9140,90979.2,239,1,17487,-70,48,0
Fname 2118,L,Lname 2118,90896,6651,18,26034,-47,71,0
Fname 4776,NICOLE,Lname 4776,90627.68,3431,9,13579,-81,37,0
Fname 342,Y,Lname 342,90606.88,2668,7,19448,-65,53,0
Fname 4378,A,Lname 4378,90480,10732,29,24667,-51,68,0
Fname 7168,A,Lname 7168,90459.2,757,2,19540,-65,54,0
Fname 8734,A,Lname 8734,90459.2,757,2,18590,-67,51,0
Fname 4487,,Lname 4487,90147.2,4971,14,19378,-65,53,0
Fname 2266,J,Lname 2266,90099.36,6070,17,20550,-62,56,0
Fname 6312,SHAVON,Lname 6312,90084.8,2808,8,14022,-80,38,0
Fname 5725,T,Lname 5725,90043.2,1338,4,14772,-78,40,0
Fname 8854,,Lname 8854,90043.2,757,2,21207,-60,58,0
Fname 5835,W.,Lname 5835,89835.2,1730,5,22947,-55,63,0
Fname 4361,,Lname 4361,89627.2,5748,16,20954,-61,57,0
Fname 7462,MARIE,Lname 7462,89585.6,4698,13,13414,-81,37,0
Fname 4472,K,Lname 4472,89460.8,2584,7,23858,-53,65,0
Fname 3387,D,Lname 3387,89336,6763,19,19693,-64,54,0
Fname 9149,MICHELLE,Lname 9149,89232,4404,12,16366,-73,45,0
Fname 1577,,Lname 1577,89105.12,6021,16,21591,-59,59,0
Fname 4842,,Lname 4842,88420.8,547,1,20739,-61,57,0
Fname 7016,M,Lname 7016,88171.2,2787,8,21434,-59,59,0
Fname 1737,J,Lname 1737,88129.6,2143,6,18118,-69,50,0
Fname 4617,C,Lname 4617,87942.4,659,2,22331,-57,61,0
Fname 9549,A,Lname 9549,87817.6,1142,3,20707,-61,57,0
Fname 4402,N,Lname 4402,87796.8,1331,4,16968,-72,46,0
Fname 5573,M,Lname 5573,87672,1303,4,17273,-71,47,0
Fname 2527,D,Lname 2527,87609.6,1366,4,18110,-69,50,0
Fname 6880,,Lname 6880,87553.44,897,2,23672,-53,65,0
Fname 6225,S,Lname 6225,87507.68,295,1,13014,-83,36,0
Fname 6748,A,Lname 6748,87464,5496,15,19264,-65,53,0
Fname 2874,,Lname 2874,87360,358,1,21584,-59,59,0
Fname 1587,,Lname 1587,86985.6,5741,16,14045,-80,38,0
Fname 10725,BUNIEL,Lname 10725,86923.2,1198,3,14437,-79,40,0
Fname 1834,D,Lname 1834,86715.2,1268,3,22592,-56,62,0
Fname 7729,J,Lname 7729,86694.4,897,2,18268,-68,50,0
Fname 8302,BROTHERS,Lname 8302,86694.4,897,2,20922,-61,57,0
Fname 8187,A,Lname 8187,86590.4,2255,6,17234,-71,47,0
Fname 1925,L,Lname 1925,86548.8,7813,21,21344,-60,58,0
Fname 514,,Lname 514,86503.04,6070,17,16899,-72,46,0
Fname 8023,,Lname 8023,86486.4,5356,15,12578,-84,34,0
Fname 3243,D.,Lname 3243,86486.4,4250,12,15021,-77,41,0
Fname 9723,A,Lname 9723,86486.4,4250,12,18453,-68,51,0
Fname 900,R,Lname 900,86486.4,3907,11,12450,-84,34,0
Fname 6620,WALKER,Lname 6620,86486.4,3893,11,17925,-69,49,0
Fname 3309,SOYOON,Lname 3309,86486.4,3886,11,13990,-80,38,0
Fname 4674,E,Lname 4674,86486.4,3431,9,15571,-76,43,0
Fname 3879,D,Lname 3879,86486.4,3298,9,10654,-89,29,0
Fname 8000,A,Lname 8000,86486.4,2948,8,14337,-79,39,0
Fname 6479,,Lname 6479,86486.4,2787,8,10941,-88,30,0
Fname 691,,Lname 691,86486.4,2605,7,10532,-89,29,0
Fname 7666,M.,Lname 7666,86486.4,2311,6,16510,-73,45,0
Fname 4563,,Lname 4563,86486.4,2269,6,15228,-76,42,0
Fname 9002,,Lname 9002,86486.4,2234,6,17603,-70,48,0
Fname 1015,D,Lname 1015,86486.4,2157,6,17067,-71,47,0
Fname 1966,,Lname 1966,86486.4,2059,6,17119,-71,47,0
Fname 1408,F,Lname 1408,86486.4,1996,5,14900,-77,41,0
Fname 512,ANNETTE,Lname 512,86486.4,1940,5,21184,-60,58,0
Fname 629,N,Lname 629,86405.28,2164,6,14521,-78,40,0
Fname 5797,,Lname 5797,86336.64,4250,12,14086,-80,39,0
Fname 4254,E,Lname 4254,86336.64,2059,6,11961,-85,33,0
Fname 1968,,Lname 1968,86336.64,2003,5,10455,-90,29,0
Fname 5210,A,Lname 5210,86320,7540,21,19738,-64,54,0
Fname 4801,,Lname 4801,86317.92,3795,10,14355,-79,39,0
Fname 1596,,Lname 1596,86317.92,3305,9,16032,-74,44,0
Fname 2355,L,Lname 2355,86317.92,3305,9,18725,-67,51,0
Fname 10905,M,Lname 10905,86317.92,1835,5,11453,-87,31,0
Fname 4415,J,Lname 4415,86186.88,624,2,22627,-56,62,0
Fname 3608,VASQUEZ,Lname 3608,86174.4,1464,4,22023,-58,60,0
Fname 5530,M,Lname 5530,86153.6,3445,9,15887,-75,44,0
Fname 3154,C,Lname 3154,86149.44,12349,34,21016,-61,58,0
Fname 1483,K,Lname 1483,86149.44,9024,25,17987,-69,49,0
Fname 4799,A.,Lname 4799,86112,3865,11,21972,-58,60,0
Fname 8937,,Lname 8937,86008,778,2,15902,-75,44,0
Fname 3759,O.,Lname 3759,85924.8,4985,14,15180,-77,42,0
Fname 609,,Lname 609,85924.8,2094,6,11849,-86,32,0
Fname 3892,,Lname 3892,85924.8,1842,5,17695,-70,48,0
Fname 2511,E,Lname 2511,85924.8,1821,5,17489,-70,48,0
Fname 220,,Lname 220,85904,2563,7,16847,-72,46,0
Fname 3947,M,Lname 3947,85901.92,974,3,16538,-73,45,0
Fname 8511,R,Lname 8511,85820.8,1583,4,20909,-61,57,0
Fname 5971,M,Lname 5971,85812.48,603,2,17244,-71,47,0
Fname 3450,G.,Lname 3450,85779.2,5384,15,15907,-75,44,0
Fname 7540,A,Lname 7540,85737.6,12405,34,21734,-59,60,0
Fname 12589,,Lname 12589,85737.6,9003,25,17874,-69,49,0
Fname 1854,M,Lname 1854,85737.6,8807,24,24297,-52,67,0
Fname 146,A,Lname 146,85737.6,8744,24,22382,-57,61,0
Fname 2449,N,Lname 2449,85737.6,8128,22,18584,-67,51,0
Fname 248,J,Lname 248,85737.6,7834,21,21322,-60,58,0
Fname 7985,F,Lname 7985,85737.6,7722,21,21797,-58,60,0
Fname 9765,M,Lname 9765,85737.6,7582,21,21577,-59,59,0
Fname 4343,,Lname 4343,85737.6,7442,20,14764,-78,40,0
Fname 264,,Lname 264,85737.6,7084,19,20752,-61,57,0
Fname 6340,,Lname 6340,85737.6,6770,19,18602,-67,51,0
Fname 3616,D,Lname 3616,85737.6,6378,17,19880,-64,54,0
Fname 6816,F,Lname 6816,85737.6,4488,12,24524,-51,67,0
Fname 6038,,Lname 6038,85737.6,4082,11,19467,-65,53,0
Fname 2145,V.,Lname 2145,85737.6,3739,10,22120,-58,61,0
Fname 943,,Lname 943,85737.6,3725,10,22172,-57,61,0
Fname 9767,DAVIS,Lname 9767,85737.6,3529,10,22726,-56,62,0
Fname 6124,L,Lname 6124,85737.6,1968,5,23801,-53,65,0
Fname 8760,A,Lname 8760,85681.44,2332,6,14734,-78,40,0
Fname 3724,T,Lname 3724,85675.2,1562,4,12812,-83,35,0
Fname 8340,N,Lname 8340,85658.56,1506,4,11226,-87,31,0
Fname 207,R,Lname 207,85633.6,4390,12,22000,-58,60,0
Fname 10296,,Lname 10296,85569.12,1457,4,11079,-88,30,0
Fname 8197,B,Lname 8197,85494.24,6252,17,13180,-82,36,0
Fname 336,A,Lname 336,85494.24,2661,7,13678,-81,37,0
Fname 3097,Y,Lname 3097,85494.24,1723,5,15606,-75,43,0
Fname 12783,,Lname 12783,85438.08,4425,12,18083,-69,50,0
Fname 6535,,Lname 6535,85363.2,7526,21,21750,-59,60,0
Fname 1312,A,Lname 1312,85363.2,666,2,22659,-56,62,0
Fname 5452,M,Lname 5452,85342.4,141,0,22903,-55,63,0
Fname 574,G,Lname 574,85325.76,13497,37,23089,-55,63,0
Fname 1553,A,Lname 1553,85325.76,12573,34,21468,-59,59,0
Fname 1732,M,Lname 1732,85325.76,11922,33,22489,-57,62,0
Fname 6743,,Lname 6743,85325.76,11477,31,21467,-59,59,0
Fname 103,,Lname 103,85325.76,11131,30,19368,-65,53,0
Fname 8353,W,Lname 8353,85325.76,10886,30,22056,-58,60,0
Fname 7070,D,Lname 7070,85325.76,10374,28,20710,-61,57,0
Fname 349,E,Lname 349,85325.76,10270,28,20979,-61,57,0
Fname 6546,M,Lname 6546,85325.76,9759,27,19530,-65,54,0
Fname 7104,B,Lname 7104,85325.76,8918,24,22499,-57,62,0
Fname 6311,S,Lname 6311,85325.76,8786,24,20143,-63,55,0
Fname 3739,E,Lname 3739,85325.76,7988,22,20709,-61,57,0
Fname 7820,J,Lname 7820,85325.76,7785,21,24160,-52,66,0
Fname 5458,M,Lname 5458,85325.76,7561,21,17958,-69,49,0
Fname 7821,A,Lname 7821,85325.76,7365,20,18060,-69,49,0
Fname 3504,M,Lname 3504,85325.76,7323,20,19464,-65,53,0
Fname 3412,P,Lname 3412,85325.76,7113,19,25222,-49,69,0
Fname 110,M,Lname 110,85325.76,6224,17,17931,-69,49,0
Fname 2265,M,Lname 2265,85325.76,6175,17,22089,-58,61,0
Fname 9764,S,Lname 9764,85325.76,5741,16,23197,-55,64,0
Fname 13233,D.,Lname 13233,85325.76,5503,15,23340,-54,64,0
Fname 11774,BENNETT,Lname 11774,85325.76,5454,15,20025,-63,55,0
Fname 3390,G,Lname 3390,85325.76,5244,14,19536,-65,54,0
Fname 2142,ELIZABETH,Lname 2142,85325.76,5111,14,14469,-79,40,0
Fname 5315,L,Lname 5315,85325.76,5062,14,16720,-72,46,0
Fname 1907,ROSA,Lname 1907,85325.76,5013,14,18023,-69,49,0
Fname 3299,,Lname 3299,85325.76,4544,12,18918,-66,52,0
Fname 3798,SCOTT,Lname 3798,85325.76,4488,12,17059,-71,47,0
Fname 2703,,Lname 2703,85325.76,4340,12,17796,-69,49,0
Fname 7203,MARITZA,Lname 7203,85325.76,4096,11,19993,-63,55,0
Fname 2113,H,Lname 2113,85325.76,3977,11,20966,-61,57,0
Fname 7466,L,Lname 7466,85325.76,3872,11,23569,-54,65,0
Fname 3681,B,Lname 3681,85325.76,3652,10,22478,-57,62,0
Fname 5509,JEANE,Lname 5509,85325.76,3494,10,22420,-57,61,0
Fname 2719,SABATIER,Lname 2719,85325.76,3431,9,17290,-71,47,0
Fname 2700,SUZZETTE,Lname 2700,85325.76,3389,9,17396,-71,48,0
Fname 7236,,Lname 7236,85325.76,3284,9,22963,-55,63,0
Fname 4803,EVARDOLOZA,Lname 4803,85325.76,3263,9,15105,-77,41,0
Fname 2356,DANIEL,Lname 2356,85325.76,3130,9,21351,-60,58,0
Fname 1729,SAN JUAN,Lname 1729,85325.76,3068,8,16982,-72,47,0
Fname 2934,C,Lname 2934,85325.76,1331,4,21680,-59,59,0
Fname 8454,M,Lname 8454,85321.6,3676,10,19478,-65,53,0
Fname 6431,E,Lname 6431,85288.32,7407,20,22927,-55,63,0
Fname 1168,,Lname 1168,85217.6,1065,3,15183,-77,42,0
Fname 1614,,Lname 1614,85138.56,1265,3,11666,-86,32,0
Fname 4357,,Lname 4357,85119.84,7337,20,17262,-71,47,0
Fname 1726,LYNN,Lname 1726,85119.84,3431,9,18406,-68,50,0
Fname 3520,N,Lname 3520,85101.12,2031,6,16886,-72,46,0
Fname 2991,MASHELL,Lname 2991,85101.12,1737,5,19785,-64,54,0
Fname 4285,L,Lname 4285,85101.12,1366,4,15906,-75,44,0
Fname 5208,,Lname 5208,85082.4,6434,18,22998,-55,63,0
Fname 2804,B,Lname 2804,85082.4,1835,5,10156,-90,28,0
Fname 6799,M,Lname 6799,84951.36,10255,28,20563,-62,56,0
Fname 2260,,Lname 2260,84951.36,6021,16,22294,-57,61,0
Fname 3773,,Lname 3773,84951.36,4362,12,22498,-57,62,0
Fname 1510,,Lname 1510,84926.4,974,3,12331,-84,34,0
Fname 2083,N,Lname 2083,84926.4,392,1,14160,-79,39,0
Fname 1724,M,Lname 1724,84913.92,7057,19,17074,-71,47,0
Fname 6137,,Lname 6137,84913.92,6042,17,20321,-62,56,0
Fname 9603,J,Lname 9603,84913.92,3697,10,22177,-57,61,0
Fname 236,MCGOWEN,Lname 236,84895.2,3795,10,19551,-65,54,0
Fname 3756,L,Lname 3756,84876.48,7631,21,15610,-75,43,0
Fname 1771,,Lname 1771,84820.32,3466,9,16764,-72,46,0
Fname 8013,,Lname 8013,84764.16,3697,10,16319,-73,45,0
Fname 5570,,Lname 5570,84708,1331,4,13913,-80,38,0
Fname 1824,,Lname 1824,84689.28,3501,10,17242,-71,47,0
Fname 3153,E,Lname 3153,84670.56,414,1,19723,-64,54,0
Fname 13480,A,Lname 13480,84670.56,344,1,17737,-70,49,0
Fname 3016,S,Lname 3016,84670.56,288,1,21007,-61,58,0
Fname 2826,L,Lname 2826,84670.56,190,1,16950,-72,46,0
Fname 7512,E,Lname 7512,84670.56,169,0,20733,-61,57,0
Fname 2909,K,Lname 2909,84670.56,155,0,19447,-65,53,0
Fname 6160,,Lname 6160,84651.84,638,2,17821,-69,49,0
Fname 8729,C,Lname 8729,84633.12,511,1,17253,-71,47,0
Fname 2063,,Lname 2063,84633.12,435,1,16724,-72,46,0
Fname 5977,A,Lname 5977,84633.12,330,1,18242,-68,50,0
Fname 8927,J,Lname 8927,84633.12,267,1,22420,-57,61,0
Fname 8869,,Lname 8869,84633.12,260,1,19820,-64,54,0
Fname 8703,R,Lname 8703,84633.12,239,1,20665,-62,57,0
Fname 7149,L,Lname 7149,84633.12,162,0,18639,-67,51,0
Fname 4496,V.,Lname 4496,84593.6,4558,12,12702,-83,35,0
Fname 262,,Lname 262,84576.96,1485,4,15888,-75,44,0
Fname 8036,M,Lname 8036,84576.96,624,2,19702,-64,54,0
Fname 190,M,Lname 190,84558.24,6959,19,16407,-73,45,0
Fname 6179,,Lname 6179,84539.52,9940,27,23987,-52,66,0
Fname 2718,K,Lname 2718,84539.52,7274,20,23872,-53,65,0
Fname 2104,R,Lname 2104,84344,603,2,13546,-81,37,0
Fname 6853,,Lname 6853,84323.2,834,2,14137,-79,39,0
Fname 150,O.,Lname 150,84314.88,4362,12,18416,-68,50,0
Fname 2215,,Lname 2215,84296.16,7099,19,16046,-74,44,0
Fname 1385,E,Lname 1385,84240,8894,24,24117,-52,66,0
Fname 3977,,Lname 3977,84240,225,1,20239,-63,55,0
Fname 7030,D,Lname 7030,84240,204,1,17165,-71,47,0
Fname 2890,,Lname 2890,84221.28,1807,5,14201,-79,39,0
Fname 5438,M,Lname 5438,84221.28,1737,5,15016,-77,41,0
Fname 2997,,Lname 2997,84221.28,1205,3,12359,-84,34,0
Fname 157,SANTIANO,Lname 157,84202.56,5272,14,17609,-70,48,0
Fname 6753,LYNNE,Lname 6753,84202.56,3760,10,20751,-61,57,0
Fname 9,KAY,Lname 9,84183.84,3564,10,21864,-58,60,0
Fname 5160,O,Lname 5160,84146.4,4326,12,16361,-73,45,0
Fname 80,L,Lname 80,84108.96,7785,21,22002,-58,60,0
Fname 5162,S,Lname 5162,84090.24,4439,12,21310,-60,58,0
Fname 2596,N,Lname 2596,84073.6,715,2,15174,-77,42,0
Fname 8567,L.,Lname 8567,83977.92,4565,13,16920,-72,46,0
Fname 406,L,Lname 406,83928,1331,4,14432,-79,40,0
Fname 4917,R,Lname 4917,83928,680,2,20520,-62,56,0
Fname 4893,M,Lname 4893,83921.76,3704,10,16696,-72,46,0
Fname 3120,T,Lname 3120,83884.32,3312,9,18723,-67,51,0
Fname 3246,,Lname 3246,83809.44,4159,11,16298,-74,45,0
Fname 77,J,Lname 77,83809.44,2129,6,16612,-73,46,0
Fname 12720,A,Lname 12720,83809.44,2010,6,11961,-85,33,0
Fname 2387,A,Lname 2387,83809.44,1954,5,10830,-88,30,0
Fname 1208,M,Lname 1208,83809.44,1401,4,12623,-84,35,0
Fname 6298,,Lname 6298,83809.44,1345,4,11863,-86,33,0
Fname 6264,F,Lname 6264,83790.72,3242,9,19630,-64,54,0
Fname 2635,LYNN,Lname 2635,83715.84,3004,8,21365,-60,59,0
Fname 4663,,Lname 4663,83715.84,344,1,22344,-57,61,0
Fname 5881,I,Lname 5881,83715.84,344,1,18362,-68,50,0
Fname 8872,Y,Lname 8872,83715.84,225,1,16231,-74,44,0
Fname 82,CASTRO,Lname 82,83678.4,7057,19,21024,-61,58,0
Fname 1529,,Lname 1529,83547.36,3298,9,17844,-69,49,0
Fname 1595,M,Lname 1595,83416.32,3312,9,13327,-82,37,0
Fname 5435,W,Lname 5435,83416.32,1779,5,14480,-78,40,0
Fname 7580,M,Lname 7580,83416.32,1688,5,10823,-89,30,0
Fname 3423,,Lname 3423,83416.32,1632,4,14942,-77,41,0
Fname 1436,M,Lname 1436,83408,392,1,14705,-78,40,0
Fname 8697,M,Lname 8697,83408,232,1,19146,-66,52,0
Fname 1360,A,Lname 1360,83322.72,7176,20,17082,-71,47,0
Fname 4444,D,Lname 4444,83285.28,9094,25,16959,-72,46,0
Fname 1701,R,Lname 1701,83266.56,4082,11,20674,-62,57,0
Fname 2858,J,Lname 2858,83200,466,1,13739,-81,38,0
Fname 8802,M,Lname 8802,83200,281,1,14667,-78,40,0
Fname 5599,D,Lname 5599,83179.2,1317,4,17181,-71,47,0
Fname 941,M,Lname 941,83172.96,1639,4,16199,-74,44,0
Fname 7941,R,Lname 7941,83158.4,3018,8,16754,-72,46,0
Fname 4673,,Lname 4673,83154.24,3437,9,16733,-72,46,0
Fname 4447,A,Lname 4447,83154.24,1044,3,17605,-70,48,0
Fname 3441,,Lname 3441,83116.8,7680,21,15986,-74,44,0
Fname 4249,L,Lname 4249,83079.36,7603,21,22695,-56,62,0
Fname 7772,,Lname 7772,83079.36,6189,17,18410,-68,50,0
Fname 8612,E.L.,Lname 8612,83079.36,3753,10,20926,-61,57,0
Fname 7467,,Lname 7467,83041.92,2773,8,20639,-62,57,0
Fname 5375,,Lname 5375,83004.48,2808,8,14043,-80,38,0
Fname 2739,,Lname 2739,83004.48,2059,6,17780,-69,49,0
Fname 5522,,Lname 5522,82985.76,6588,18,20517,-62,56,0
Fname 8385,D,Lname 8385,82967.04,8317,23,16964,-72,46,0
Fname 873,K,Lname 873,82929.6,7687,21,16919,-72,46,0
Fname 6992,D.,Lname 6992,82910.88,5489,15,19415,-65,53,0
Fname 111,RAE,Lname 111,82817.28,6105,17,14332,-79,39,0
Fname 1108,R,Lname 1108,82817.28,1051,3,13734,-81,38,0
Fname 2069,,Lname 2069,82798.56,392,1,15744,-75,43,0
Fname 3001,L,Lname 3001,82798.56,295,1,19796,-64,54,0
Fname 1707,LOVETE,Lname 1707,82517.76,2759,8,22097,-58,61,0
Fname 3862,E,Lname 3862,82499.04,7176,20,21752,-59,60,0
Fname 3575,,Lname 3575,82492.8,1268,3,13605,-81,37,0
Fname 91,,Lname 91,82461.6,2647,7,17277,-71,47,0
Fname 5552,J,Lname 5552,82386.72,141,0,14408,-79,39,0
Fname 4063,,Lname 4063,82368,3291,9,17757,-70,49,0
Fname 2828,V,Lname 2828,82368,498,1,18325,-68,50,0
Fname 9777,D,Lname 9777,82284.8,330,1,15953,-74,44,0
Fname 3172,,Lname 3172,82274.4,5293,15,21231,-60,58,0
Fname 241,L,Lname 241,82264,2626,7,16910,-72,46,0
Fname 5246,MCGLOSSIE,Lname 5246,82087.2,4922,13,16794,-72,46,0
Fname 2935,D,Lname 2935,82070.56,3683,10,21225,-60,58,0
Fname 353,MARIE,Lname 353,81881.28,6070,17,13996,-80,38,0
Fname 7538,,Lname 7538,81881.28,147,0,16181,-74,44,0
